"noted_date","temperature_inside","__dt"
"2018-10-25 23:05:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:11:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:23:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:27:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:32:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:34:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:40:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:40:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:43:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:45:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:47:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:50:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:56:00","33","2022-03-29 00:00:00.000"
"2018-10-25 23:57:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:58:00","32","2022-03-29 00:00:00.000"
"2018-10-25 23:59:00","33","2022-03-29 00:00:00.000"
"2018-10-26 00:03:00","33","2022-03-29 00:00:00.000"
"2018-10-26 00:04:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:05:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:05:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:07:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:08:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:18:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:20:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:21:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:33:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:36:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:49:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:39:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:42:00","32","2022-03-29 00:00:00.000"
"2018-10-26 00:51:00","33","2022-03-29 00:00:00.000"
"2018-10-26 00:55:00","33","2022-03-29 00:00:00.000"
"2018-10-26 00:57:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:01:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:02:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:04:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:06:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:10:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:16:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:20:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:24:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:26:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:28:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:29:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:31:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:33:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:35:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:33:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:35:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:37:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:37:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:39:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:40:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:44:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:44:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:44:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:44:00","32","2022-03-29 00:00:00.000"
"2018-10-26 01:47:00","32","2022-03-29 00:00:00.000"
"2018-10-26 02:03:00","32","2022-03-29 00:00:00.000"
"2018-10-26 02:05:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:03:00","32","2022-03-29 00:00:00.000"
"2018-10-26 02:09:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:11:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:12:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:13:00","32","2022-03-29 00:00:00.000"
"2018-10-26 02:15:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:19:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:21:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:27:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:31:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:24:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:31:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:35:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:37:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:37:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:41:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:45:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:48:00","30","2022-03-29 00:00:00.000"
"2018-10-26 02:53:00","31","2022-03-29 00:00:00.000"
"2018-10-26 02:54:00","30","2022-03-29 00:00:00.000"
"2018-10-26 03:00:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:07:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:12:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:15:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:17:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:17:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:19:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:23:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:27:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:29:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:31:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:25:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:31:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:39:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:43:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:45:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:45:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:47:00","29","2022-03-29 00:00:00.000"
"2018-10-26 03:49:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:53:00","28","2022-03-29 00:00:00.000"
"2018-10-26 03:53:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:59:00","31","2022-03-29 00:00:00.000"
"2018-10-26 03:55:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:01:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:05:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:12:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:13:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:13:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:17:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:21:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:23:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:25:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:25:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:30:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:31:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:31:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:32:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:32:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:33:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:34:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:35:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:37:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:35:00","31","2022-03-29 00:00:00.000"
"2018-10-26 04:38:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:39:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:39:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:45:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:44:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:45:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:47:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:47:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:49:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:53:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:55:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:57:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:56:00","30","2022-03-29 00:00:00.000"
"2018-10-26 04:57:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:59:00","28","2022-03-29 00:00:00.000"
"2018-10-26 04:59:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:01:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:02:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:04:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:07:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:07:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:09:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:11:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:13:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:16:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:16:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:18:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:21:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:25:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:23:00","27","2022-03-29 00:00:00.000"
"2018-10-26 05:26:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:27:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:27:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:28:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:37:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:42:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:39:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:52:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:57:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:45:00","28","2022-03-29 00:00:00.000"
"2018-10-26 05:58:00","30","2022-03-29 00:00:00.000"
"2018-10-26 05:59:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:00:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:00:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:07:00","29","2022-03-29 00:00:00.000"
"2018-10-26 06:10:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:16:00","27","2022-03-29 00:00:00.000"
"2018-10-26 06:24:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:26:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:18:00","27","2022-03-29 00:00:00.000"
"2018-10-26 06:29:00","27","2022-03-29 00:00:00.000"
"2018-10-26 06:34:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:35:00","27","2022-03-29 00:00:00.000"
"2018-10-26 06:38:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:41:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:43:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:46:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:50:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:52:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:49:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:53:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:53:00","28","2022-03-29 00:00:00.000"
"2018-10-26 06:54:00","30","2022-03-29 00:00:00.000"
"2018-10-26 06:58:00","28","2022-03-29 00:00:00.000"
"2018-10-26 07:02:00","28","2022-03-29 00:00:00.000"
"2018-10-26 07:03:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:03:00","28","2022-03-29 00:00:00.000"
"2018-10-26 07:11:00","28","2022-03-29 00:00:00.000"
"2018-10-26 07:09:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:06:00","28","2022-03-29 00:00:00.000"
"2018-10-26 07:13:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:13:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:16:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:26:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:26:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:27:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:27:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:28:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:29:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:31:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:36:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:37:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:40:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:43:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:46:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:46:00","27","2022-03-29 00:00:00.000"
"2018-10-26 07:50:00","30","2022-03-29 00:00:00.000"
"2018-10-26 07:56:00","30","2022-03-29 00:00:00.000"
"2018-10-26 08:01:00","29","2022-03-29 00:00:00.000"
"2018-10-26 07:58:00","29","2022-03-29 00:00:00.000"
"2018-10-26 08:08:00","29","2022-03-29 00:00:00.000"
"2018-10-26 08:01:00","27","2022-03-29 00:00:00.000"
"2018-10-26 08:24:00","29","2022-03-29 00:00:00.000"
"2018-10-26 08:31:00","29","2022-03-29 00:00:00.000"
